TIC ID,TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,# PCs,Source,RA (degrees),Dec (degrees),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Epoch (BJD),Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Sectors,Comments,Date Created,Date Modified
78154865,638.01,5,5,5,5,5,5,5,PC,FP,8.9090004,0.019,1,spoc,147.86736,-4.123325,-3.651,1.191,13.647,0.778,2458517.428,0.001407,0.493826,0.000055,1.162615,0.459021,0.33725,0.048427,310.570859,44.601707,1.940277,4.062545,8648.339203,2459.534554,8.201568,96.423645,4.3028798,6030,192,4.4158502,0.27580199,1.08524,0.13198499,8,PC; TIC 78154863 in same pixel,4/11/2019,4/24/2019
82362447,639.01,5,5,5,5,5,5,5,PC,FP,15.341,0.062,1,spoc,124.24947,-47.651493,97.13,2,-100.74,2,2458517.561,0.005268,2.819817,0.001165,6.611278,0.349024,220.283783,14.845177,183631.0336,13579.864,22.75573,21.919445,31.848458,605.887304,12.677918,453.49762,,3601,119,4.8188701,0.45343199,0.44100001,0.086000003,8,Crowded field; likely EB off target to SSE; but check if nearby PC (not a cut and paste error; same comment as line 104).,4/11/2019,5/3/2019
147977348,640.01,3,4,3,3,4,4,4,PC,,10.002,0.018,1,qlp,99.734594,-36.646131,-4.072,0.624,5.743,0.642,2458469.747,0.00057,5.00353,0.00011,3.529,0.17,7.95313,0.001354,7298.34,1.24724,20.6516,1.18747,1085.44,1599,171,341.89389,43.428501,6587,200,3.9015901,0.39947501,2.1730399,0.36439899,"6,7",slightly large,3/26/2019,5/6/2019
49079670,641.01,1,4,1,1,4,4,4,PC,,9.875,0.019,1,qlp,101.071705,-23.819191,-31.062,1.13,23.569,0.99,2458470.203,0.00241,1.89253,0.00016,1.474,0.45,0.950581,0.005395,875.134,4.96879,3.62081,0.314982,1531.93,1742,21,134.47115,,5613,187,4.3670998,0.28220299,1.0819499,0.136775,"6,7",,3/26/2019,5/6/2019
79292541,642.01,3,4,3,3,4,4,4,PC,,9.3730001,0.023,1,qlp,104.055777,-20.052499,-9.47,0.459,5.026,0.499,2458470.737,0.00147,2.27728,0.00032,1.65,0.105,1.489816,0.000802,1371.23,0.738764,,,2607.15,1990,34,422.33804,,0,0,,,,,6,crowded field; could be on 79292540,3/21/2019,5/6/2019
432008938,643.01,5,5,5,5,5,5,5,PC,FP,13.679,0.04,2,spoc,120.693428,-23.695538,102.04,2,-193.97,2,2458522.349,0.003658,9.653456,0.002539,4.00937,0.258226,47.820639,4.558786,43088.5649,4189.9946,7.281973,1.406418,3.12657,339.146076,13.058762,142.56639,,3369,67,4.9291902,0.40352899,0.31999999,0.055,8,period might be double; crowded field,4/11/2019,5/23/2019
63303499,644.01,3,4,3,3,4,4,4,PC,,9.7010002,0.022,1,qlp,104.922845,-24.884014,-9.9,3,29.1,2.7,2458469.855,0.00571,1.92699,0.00048,2.876,0.325,0.319259,0.000649,294.005,0.597559,,,2338.87,1937,16,,,6112,194,,,,,"6,7",possible NEB to E; TIC 63303496,3/26/2019,5/6/2019
157568289,645.01,3,4,3,3,4,4,4,PC,,10.341,0.023,1,qlp,106.767434,-36.7708,1.286,1.126,8.585,0.986,2458468.737,0.00085,1.84051,0.00006,4.642,0.055,2.802446,0.000165,2577.82,0.152151,13.9166,1.05797,4390.21,2267,113,391.43784,36.947201,5415,185,3.5961101,0.45299,2.56004,0.55644101,"6,7",Either diluted or blended PC: matches 17000 ppm deep eclipse on 157568287 of dT=1.8 mag; need SG1 to check on which target,3/26/2019,5/6/2019
238197709,646.01,3,4,3,3,4,4,4,PC,,10.26,0.019,1,qlp,57.265796,-72.947302,20.806,1.026,25.989,0.732,2458354.355,0.00112,6.86315,0.00009,3.124,0.129,9.883103,0.196465,9061.37,180.935,20.7774,3.31431,684.716,1425,63,308.0051,36.406799,6137,194,3.9481001,0.365309,1.8959,0.3179,"3,5,6",Period is double = 13.73 days,3/21/2019,5/6/2019
92992033,647.01,3,4,3,3,4,4,4,PC,,10.17,0.02,1,qlp,83.955484,-18.649592,0.218,0.688,9.114,0.697,2458470.602,0.01,4.90765,0.00501,3.753,0.689,0.629336,0.00208,579.472,1.91617,12.7767,0.949952,261.827,1120,13,484.44348,47.8335,4646,170,2.8203001,0.49641001,5.5542202,1.3369401,6,v-shaped; evolved star,3/21/2019,5/6/2019
