rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
272,1239.01,1239,154716798,154716798,1,,10h32m02.71s,158.011286,,,+84d01m49.36s,84.030377,,,-26.182,0.043,0.043,0,1,2.141,0.042,0.042,0,1,2458694.037,0.001743,0.001743,0,1,12.640098,0.002439,0.002439,0,1,3.372052,0.230914,0.230914,0,1,3496.877144,164.87523,164.87523,0,1,4.696272,0.661669,0.661669,0,1,39.654726,,,,,640.019917,,,,,10.7192,0.006,0.006,0,1,126.903,0.4395,0.4395,0,1,5217,128.364,128.364,0,1,4.59186,0.084215,0.084215,0,1,0.789425,0.043553,0.043553,0,1,10/17/2019 0:30,2/20/2020 10:00
273,124.01,124,29831208,29831208.01,1,FP,04h26m19.83s,66.58263,,,-67d48m22.87s,-67.806354,,,7.888,0.108,0.108,0,1,32.653,0.115,0.115,0,1,2458326.544,0.001148,0.001148,0,1,1.84286,0.000046,0.000046,0,1,1.719758,0.104861,0.104861,0,1,2469.541504,128.681992,128.681992,0,1,7.09999,9.345614,9.345614,0,1,590.536682,,,,,1257.278442,,,,,11.1311,0.006,0.006,0,1,809.252,43.8985,43.8985,0,1,5080,181,181,0,1,4.48159,2.00353,2.00353,0,1,0.877602,0.877602,0.877602,0,1,9/5/2018 18:34,12/17/2019 10:00
274,1240.01,1240,158170594,158170594,1,KP,19h04m26.47s,286.110305,,,+43d40m51.46s,43.680961,,,-1.691,0.03,0.03,0,1,7.017,0.032,0.032,0,1,2458684.802,0.002301,0.002301,0,1,1.721151,0.000294,0.000294,0,1,2.015648,0.235183,0.235183,0,1,12390.85645,908.449036,908.449036,0,1,14.994579,1.750664,1.750664,0,1,2258.87207,,,,,1758.298706,,,,,13.8046,0.006,0.006,0,1,1086.24,19.16,19.16,0,1,5832.830078,96.059998,96.059998,0,1,4.20893,,,0,1,1.33402,,,0,1,10/17/2019 0:30,12/17/2019 10:00
275,1241.01,1241,159107668,159107668,1,,19h18m57.54s,289.73973,,,+44d38m50.45s,44.647347,,,2.831,0.15,0.15,0,1,-10.813,0.154,0.154,0,1,2458685.074,0.002706,0.002706,0,1,4.779966,0.00092,0.00092,0,1,1.511869,0.598016,0.598016,0,1,1484.953491,177.62384,177.62384,0,1,9.180808,7.977369,7.977369,0,1,1770.342163,,,,,1654.332886,,,,,11.1634,0.008,0.008,0,1,546.522,24.466,24.466,0,1,5826,155.529007,155.529007,0,1,3.7213,0.093191,0.093191,0,1,2.33872,0.172542,0.172542,0,1,10/17/2019 0:30,4/24/2020 12:00
276,1242.01,1242,198212955,198212955,1,,16h34m12.79s,248.553295,,,+60d11m45.34s,60.195927,,,1.525,0.049,0.049,0,1,-39.808,0.052,0.052,0,1,2458683.711,0.001893,0.001893,0,1,0.381484,0.000055,0.000055,0,1,0.875318,0.212758,0.212758,0,1,611.026184,80.205551,80.205551,0,1,1.884713,2.788482,2.788482,0,1,1840.048706,,,,,1670.312256,,,,,11.598,0.006,0.006,0,1,110.015,0.364,0.364,0,1,4255,128.199997,128.199997,0,1,4.55641,0.106625,0.106625,0,1,0.711609,0.065967,0.065967,0,1,10/17/2019 0:30,3/25/2020 12:00
277,1243.01,1243,219698776,219698776,1,,09h02m55.83s,135.732641,,,+71d38m11.1s,71.636416,,,-100.404,0.04,0.04,0,1,-142.946,0.048,0.048,0,1,2458684.872,0.001813,0.001813,0,1,4.662836,0.000602,0.000602,0,1,0.667086,0.228616,0.228616,0,1,2100.443115,307.562469,307.562469,0,1,2.585771,0.618679,0.618679,0,1,17.250017,,,,,519.7771,,,,,11.1966,0.007,0.007,0,1,43.1865,0.0613,0.0613,0,1,3489,157,157,0,1,4.74553,0.007601,0.007601,0,1,0.490729,0.014421,0.014421,0,1,10/17/2019 0:30,12/17/2019 10:00
278,1244.01,1244,219850915,219850915,1,,17h05m07.09s,256.279559,,,+69d31m08.73s,69.519093,,,-56.411,0.045,0.045,0,1,-66.5,0.047,0.047,0,1,2458684.961,0.004105,0.004105,0,1,6.398386,0.002212,0.002212,0,1,2.159731,0.69249,0.69249,0,1,1137.748657,149.79895,149.79895,0,1,2.389882,2.072345,2.072345,0,1,56.45916,,,,,699.12262,,,,,11.0157,0.006,0.006,0,1,102.551,0.24,0.24,0,1,4599,123,123,0,1,4.58487,0.093291,0.093291,0,1,0.720551,0.053482,0.053482,0,1,10/17/2019 0:30,12/17/2019 10:00
279,1245.01,1245,229781583,229781583,1,,18h54m08.53s,283.53553,,,+69d38m00.72s,69.633534,,,-9.435,0.034,0.034,0,1,54.067,0.04,0.04,0,1,2458684.535,0.003396,0.003396,0,1,4.820718,0.001172,0.001172,0,1,2.385853,0.216772,0.216772,0,1,2253.495361,205.98291,205.98291,0,1,3.00638,0.229305,0.229305,0,1,22.605995,,,,,556.12915,,,,,12.1819,0.007,0.007,0,1,80.0982,0.11875,0.11875,0,1,3692,157,157,0,1,4.71598,0.008825,0.008825,0,1,0.524555,0.015499,0.015499,0,1,10/17/2019 0:30,12/17/2019 10:00
280,1246.01,1246,230127302,230127302,1,,16h44m27.81s,251.11587,,,+70d25m47.97s,70.429992,,,-48.024,0.047,0.047,0,1,81.928,0.051,0.051,0,1,2458688.94,0.004706,0.004706,0,1,18.652357,0.006647,0.006647,0,1,3.593588,0.809286,0.809286,0,1,1450.93335,136.303329,136.303329,0,1,3.332019,1.76826,1.76826,0,1,27.837103,,,,,585.835571,,,,,11.1802,0.006,0.006,0,1,169.422,0.671,0.671,0,1,5141,122.049004,122.049004,0,1,4.49143,0.084277,0.084277,0,1,0.876154,0.051,0.051,0,1,10/17/2019 0:30,1/27/2020 16:00
281,1246.02,1246,230127302,230127302,2,,16h44m27.81s,251.11587,,,+70d25m47.97s,70.429992,,,-48.024,0.047,0.047,0,1,81.928,0.051,0.051,0,1,2458686.565,0.004144,0.004144,0,1,4.307412,0.001355,0.001355,0,1,2.209512,0.798548,0.798548,0,1,1075.161377,136.189819,136.189819,0,1,3.001516,1.135561,1.135561,0,1,196.477936,,,,,954.878662,,,,,11.1802,0.006,0.006,0,1,169.422,0.671,0.671,0,1,5141,122.049004,122.049004,0,1,4.49143,0.084277,0.084277,0,1,0.876154,0.051,0.051,0,1,10/17/2019 0:30,1/27/2020 16:00
