tid,harmonic,sector,period,zeta,deltchi2,kurtosis,duration,tau0,depth
423279462,5.0,8,7.68194,34510.4,84505.9,49.8965,0.039946088,1523.8871914815688,0.027991295
423358373,6.0,3,2.56991,5412.85,280792.0,5.64036,0.04026192333333335,1387.6278454740814,0.036310136
423387084,3.0,4,2.22266,12142.6,13282.1,10.7353,0.035562559999999986,1411.373638107089,0.0062276423
423524230,2.0,9,5.16311,21880.7,1322.94,62.5307,0.041304879999999995,1545.8891016133919,0.004124716
423530755,2.0,10,4.68425,49728.7,34143.4,86.4155,0.04215825,1573.2288071814276,0.010769874
423761480,8.0,3,6.58222,6599.12,2850.51,13.742,0.041138875000000005,1386.640159323378,0.0019869804
423761655,14.0,3,3.61421,8837.25,25123.6,8.03294,0.054213150000000106,1389.1249245125782,0.005048752
423833748,7.0,5,2.9883,8512.4,585710.0,5.33007,0.042690000000000054,1439.911354142611,0.027780801
423987361,1.0,12,5.53379,62053.8,3271.4,136.633,0.06640547999999999,1629.8609915649756,0.00866586
424992973,1.0,5,6.92547,30242.8,6410.85,183.615,0.11080752000000002,1442.1187984112096,0.009909928
425064757,8.0,1,2.09218,32690.1,4.73e6,17.9903,0.024583114999999992,1325.8979616195206,0.33346364
425077106,4.0,4,4.46472,34080.7,63936.4,42.5166,0.037950120000000004,1411.890155708699,0.0077269077
425206178,7.0,7,1.15339,4078.48,14106.5,4.97731,0.03460170000000001,1492.7928220411748,0.024019837
425215390,7.0,5,3.73422,8790.15,28535.6,5.89898,0.037342199999999985,1441.6120168555447,0.0026498884
425549135,1.0,13,5.02055,27235.2,2520.71,104.56,0.0401644,1657.9775179109154,0.005785942
425863844,8.0,1,4.77092,24051.9,37636.6,12.9942,0.03458917,1329.1983405557617,0.012549698
425864141,9.0,2,0.982691,10143.0,160410.0,6.38204,0.023147832444444506,1354.915951351725,0.14241391
425976940,2.0,1,9.67978,11535.8,494.607,122.729,0.019359559999999998,1333.0897984202416,0.0005649328
426541180,1.0,12,4.69754,25052.7,1158.59,99.5211,0.0469754,1628.9972530955833,0.00608024
426588729,2.0,5,4.84868,49345.3,16194.7,55.8151,0.053335480000000005,1442.0012663314492,0.0010910034
