TID,Peak_Zeta,Guessed_Period
140039424,1.23E-14,4.762975216
267210448,4.82E-08,0.339891911
149573088,1.59E-12,7.269633293
60371704,2.89E-14,2.000117302
139845584,1.52E-10,1.358941078
238831200,5.64E-11,9.135847092
150273248,2.66E-07,1.064358711
139453344,7.23E-09,2.233059168
267041904,2.47E-05,0.701317668
31852880,1.51E-07,0.314021349
261155056,1.70E-13,3.718693733
350344160,1.95E-14,3.743567944
177258736,9.21E-06,1.327599525
141805488,3.51E-12,8.269212723
389050400,2.22E-12,4.957355976
126890488,5.32E-15,6.893226624
232083920,7.66E-09,1.374429941
161210016,6.21E-08,2.039162397
403288832,6.21E-14,0.375513434
382222720,1.38E-07,0.357258976
206498288,5.32E-14,1.79805553
389126400,3.03E-10,1.900035262
201226480,2.67E-08,0.451975346
139267280,1.32E-13,3.902194738
278729408,9.24E-12,6.892077446
350342048,9.25E-14,8.464429855
177286272,2.54E-06,0.370231181
278564544,5.35E-10,6.783812523
152221984,8.85E-06,4.455053806
38608864,6.02E-14,3.824926138
51912440,5.35E-11,0.343765914
358106112,2.69E-13,1.528121352
389758656,1.28E-10,6.284204006
231862016,2.00E-10,0.368999124
89334192,9.06E-14,9.726678848
219155856,4.10E-06,1.314827919
177116480,6.97E-12,9.996208191
350581056,6.77E-14,11.3271904
147419360,2.02E-08,1.70922339
260188544,6.23E-12,10.54908657
289914016,3.09E-08,3.835778952
238815664,1.80E-09,0.468699098
99839688,4.61E-07,0.342051387
259863360,8.89E-06,0.955079257
309758240,4.08E-10,4.922775745
278823328,1.55E-09,4.603755951
141124144,3.36E-08,0.549931824
97432872,3.52E-12,0.370601594
177258208,1.28E-08,3.790024757
270565376,1.89E-11,10.69068336
29778240,8.24E-10,1.424810886
32052060,1.73E-08,0.316069126
206360832,2.91E-13,14.35415363
139113392,7.25E-11,1.777200103
388180000,1.11E-10,0.654776752
406243648,9.64E-08,0.65904665
142082944,6.70E-12,0.250667572
214874944,5.22E-11,0.329242408
374944736,2.46E-14,0.317335933
141471760,7.06E-10,0.373889744
211401600,1.46E-09,7.037168503
278866208,7.46E-10,4.513347626
231636688,1.07E-09,0.953329921
259784880,3.02E-13,11.96364594
231810448,3.18E-11,4.462485313
31963428,2.12E-14,3.660278082
279834528,7.73E-08,0.336341709
211432416,3.07E-11,6.071095943
382420480,5.76E-09,12.01159573
253917344,1.70E-11,8.436261177
389473728,1.46E-13,13.30365944
355425824,2.81E-12,9.715338707
273825632,4.09E-08,0.369245231
25134442,3.36E-14,3.276270866
260756224,1.24E-12,1.266012788
212351296,0.003108239,14.04883194
260043728,1.44E-07,0.347220838
375093248,7.72E-08,0.332606792
214875056,6.71E-12,0.663344383
235041968,6.65E-09,0.722074032
206486352,7.61E-13,0.603227437
204571120,2.85E-12,2.349116087
231913568,9.02E-14,11.9676342
231711888,1.58E-13,0.684002101
237879888,1.35E-14,7.954246521
237886432,1.16E-08,0.335390091
300710080,6.00E-13,0.393846393
231866128,8.66E-08,0.371343553
441113856,1.04E-06,14.29446697
267116832,1.69E-14,10.24584866
92566328,0.000292125,10.01789093
279741280,4.69E-11,1.698432446
142081712,6.74E-15,14.90513706
269795712,3.52E-12,0.329791605
167653920,2.45E-12,3.392405033
150188656,6.49E-15,3.931571245
355369024,1.61E-10,5.87891674
149497760,2.00E-14,11.48305702
229013952,1.22E-13,9.464418411
177308096,2.05E-10,0.296474427
350445760,1.83E-14,5.346127987
266586480,4.76E-05,4.626832485
204448576,1.86E-10,0.331113398
79327776,1.12E-08,14.57837391
214772352,2.15E-10,6.675022125
260656672,1.29E-08,0.451523602
372911136,2.77E-13,0.301356614
269885504,6.51E-12,11.05120277
219323872,3.11E-06,0.338478625
31925538,2.03E-10,11.10844994
426018080,1.02E-13,14.88775921
167008864,5.16E-09,0.372211009
389363680,7.16E-10,9.453380585
349156096,2.89E-09,5.779820442
160065648,1.26E-08,0.684458256
301977344,9.86E-09,0.370663345
294054144,1.08E-07,0.358810455
220508576,1.71E-14,0.492319375
393977216,9.65E-09,0.898411036
220576880,1.42E-09,0.662791848
220536400,1.83E-08,2.703027725
382624704,3.62E-12,0.655213416
370229056,2.03E-14,10.60019588
469850368,6.37E-09,0.374763191
410354944,5.06E-10,12.99466896
92749464,8.43E-11,4.225084305
79405864,5.22E-09,3.865943909
149252672,2.11E-05,0.339325875
238202176,5.40E-14,13.9717741
301980352,2.58E-13,1.678452849
29779052,1.55E-14,3.736711025
234290032,1.05E-06,1.018033028
177179616,2.40E-08,0.33144471
260078928,6.05E-15,4.77330637
32034222,1.64E-11,0.353999078
139282768,1.91E-09,0.339552164
262882912,2.86E-14,10.46852016
259862128,5.80E-12,7.147094727
350223904,1.12E-08,0.270731509
273474432,9.11E-12,5.932065964
431479936,2.23E-10,7.334133625
300938624,1.53E-11,10.12700653
206532944,3.48E-12,0.548650146
300381600,2.49E-13,0.498678207
214773568,9.43E-14,4.408520699
197955328,2.65E-13,0.342051387
426020032,2.11E-13,4.682688713
149253408,6.90E-14,0.363929808
167524928,8.93E-13,9.95132637
279729088,8.77E-12,4.142802715
142087456,4.66E-09,5.523652077
139730240,6.27E-05,6.313598633
167691904,3.63E-14,11.6178093
29636302,1.70E-12,6.05089283
219310080,7.73E-09,0.400131941
349304576,1.16E-10,0.344454139
38510324,1.01E-09,6.961344242
278803968,4.87E-11,1.179832458
388203200,9.26E-15,0.330286682
471013568,1.53E-11,0.68059063
269831840,7.05E-05,9.599451065
441040064,3.09E-09,0.324124455
234516304,2.46E-14,6.857703209
167305888,9.79E-13,0.528985441
350183808,2.70E-12,1.716932297
140580336,5.20E-10,0.326129436
266642384,2.45E-08,1.390558958
38679056,2.65E-13,1.155506849
259927520,1.45E-12,0.620459914
220560144,2.00E-05,4.532193184
212324352,7.71E-12,7.443734169
339578048,8.91E-10,2.195783854
441112928,1.01E-08,2.794181347
139356320,2.56E-05,0.795889974
382577632,0.000301365,5.909369946
55652220,1.39E-13,3.211396217
410255872,8.50E-09,0.330231607
159780288,1.11E-13,12.06376076
260982096,1.79E-08,0.32428655
141757920,1.86E-12,10.66576576
278804288,1.90E-12,5.797184944
441202752,3.69E-09,0.659156501
201250288,2.87E-09,4.24131155
39018624,1.97E-06,0.327218324
425825216,6.83E-09,1.076310635
267020192,1.28E-09,0.628054976
304054784,1.99E-12,5.874019623
